Artist 1,Album 1,Artist 2,Album 2,Similarity
Queen,A Kind of Magic (1986),Bruce Springsteen,High Hopes (2014),71.6
Queen,The Works (1984),Taylor Swift,reputation (2017),71.5
Queen,A Kind of Magic (1986),Bruce Springsteen,Human Touch (1992),71.4
Kodak Black,Kodak The Blessing (2026),Taylor Swift,Red (2012),71.4
Taylor Swift,evermore (2020),Taylor Swift,folklore (2020),71.3
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),71.1
Taylor Swift,Fearless (2008),Taylor Swift,reputation (2017),71.0
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,High Hopes (2014),70.9
Bruce Springsteen,Devils & Dust (2005),Bruce Springsteen,High Hopes (2014),70.9
Queen,A Day at the Races (1976),Bruce Springsteen,Nebraska (1982),70.8
Queen,Queen II (1974),Bruce Springsteen,Nebraska (1982),70.7
Bruce Springsteen,High Hopes (2014),BTS,ARIRANG (2026),70.7
Queen,Sheer Heart Attack (1974),Taylor Swift,Red (2012),70.6
Queen,The Works (1984),Bruce Springsteen,Born to Run (1975),70.6
Queen,The Game (1980),Bruce Springsteen,Letter to You (2020),70.5
Bruce Springsteen,Human Touch (1992),BTS,ARIRANG (2026),70.5
Taylor Swift,Taylor Swift (2006),Taylor Swift,Red (Taylor’s Version) (2021),70.5
Queen,News of the World (1977),Taylor Swift,evermore (2020),70.4
Bruce Springsteen,High Hopes (2014),Kodak Black,Just Getting Started (2025),70.4
Bruce Springsteen,Nebraska (1982),Kodak Black,Kodak The Blessing (2026),70.3
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",70.2
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",BTS,ARIRANG (2026),70.2
Bruce Springsteen,Darkness on the Edge of Town (1978),Taylor Swift,evermore (2020),70.1
Bruce Springsteen,Devils & Dust (2005),Taylor Swift,Red (2012),69.9
Queen,Jazz (1978),Bruce Springsteen,High Hopes (2014),69.8
Queen,Innuendo (1991),Taylor Swift,1989 (2014),69.8
BTS,MAP OF THE SOUL : 7 〜 THE JOURNEY 〜 (2020),Taylor Swift,Red (2012),69.8
Queen,Queen II (1974),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",69.5
Bruce Springsteen,"Greetings From Asbury Park, N.J. (1973)",Bruce Springsteen,Nebraska (1982),69.5
Bruce Springsteen,Nebraska (1982),Bruce Springsteen,Devils & Dust (2005),69.5
Taylor Swift,1989 (2014),Taylor Swift,reputation (2017),69.4
Queen,A Night at the Opera (1975),Taylor Swift,1989 (2014),69.3
Bruce Springsteen,Nebraska (1982),Kodak Black,Trill Bill (2024),69.3
Queen,The Miracle (1989),Queen,Made in Heaven (1995),69.0
Bruce Springsteen,High Hopes (2014),BTS,DARK&WILD (2014),69.0
Queen,News of the World (1977),Bruce Springsteen,Western Stars (2019),68.9
Kodak Black,Vulture Love Presents: The Last Zombies on Earth (2024),Taylor Swift,evermore (2020),68.9
Queen,The Game (1980),Bruce Springsteen,High Hopes (2014),68.6
Queen,The Works (1984),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",68.6
Queen,A Day at the Races (1976),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",68.5
Queen,The Works (1984),Taylor Swift,Red (Taylor’s Version) (2021),68.5
Bruce Springsteen,Tunnel of Love (1987),Taylor Swift,evermore (2020),68.5
Queen,Sheer Heart Attack (1974),Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",68.3
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,Taylor Swift (2006),68.3
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",BTS,DARK&WILD (2014),68.2
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Taylor Swift,Red (Taylor’s Version) (2021),68.2
Bruce Springsteen,Human Touch (1992),BTS,DARK&WILD (2014),68.1
Bruce Springsteen,Born to Run (1975),Taylor Swift,1989 (2014),68.0
BTS,WINGS (2016),Taylor Swift,1989 (2014),68.0
Bruce Springsteen,"The Wild, the Innocent & The E Street Shuffle (1973)",Kodak Black,Just Getting Started (2025),67.9
Queen,A Day at the Races (1976),Bruce Springsteen,High Hopes (2014),67.8
